Area_Code,Area,Count_Persons,Pct_0-4,Pct_5-7,Pct_8-9,Pct_10-14,Pct_15,Pct_16-17,Pct_18-19,Pct_20-24,Pct_25-29,Pct_30-44,Pct_45-59,Pct_60-64,Pct_65-74,Pct_75-84,Pct_85-89,Pct_90p,Mean_age,Median_age
E06000001,Hartlepool UA,"92,028",6.2,3.5,2.2,6.1,1.4,2.8,2.7,6.5,6.1,18.3,21.0,6.3,8.9,6.1,1.4,0.6,39.8,40
E06000002,Middlesbrough UA,"138,412",6.8,3.7,2.2,6.1,1.3,2.7,3.3,8.4,7.1,18.4,19.6,5.4,7.8,5.3,1.2,0.6,37.8,37
E06000003,Redcar and Cleveland UA,"135,177",5.6,3.2,2.0,5.8,1.3,2.7,2.6,6.0,5.6,17.8,20.9,7.0,10.7,6.5,1.6,0.7,41.5,43
E06000004,Stockton-on-Tees UA,"191,610",6.4,3.6,2.2,6.0,1.2,2.7,2.8,6.6,6.6,19.6,20.7,6.1,8.4,5.4,1.3,0.5,39.1,39
E06000005,Darlington UA,"105,564",6.2,3.6,2.2,5.9,1.3,2.6,2.2,5.8,6.3,19.8,20.4,6.3,9.2,5.8,1.6,0.8,40.2,41
E06000006,Halton UA,"125,746",6.6,3.6,2.2,6.0,1.3,2.7,2.5,6.4,6.5,19.9,20.8,6.8,8.2,4.9,1.1,0.5,38.9,39
E06000007,Warrington UA,"202,228",6.1,3.5,2.3,6.1,1.3,2.6,2.3,6.0,6.2,20.9,20.8,6.2,9.0,5.1,1.2,0.6,39.5,40
E06000008,Blackburn with Darwen UA,"147,489",7.6,4.3,2.8,7.0,1.6,2.9,2.5,6.6,7.4,20.9,18.1,5.3,7.0,4.3,1.0,0.5,36.2,35
E06000009,Blackpool UA,"142,065",5.8,3.3,2.0,5.7,1.2,2.5,2.5,6.0,6.0,18.9,20.5,6.6,10.1,6.4,1.7,0.9,41.3,42
E06000010,"Kingston upon Hull, City of UA","256,406",6.8,3.4,2.0,5.4,1.2,2.5,3.1,9.4,7.9,20.3,18.6,5.4,7.1,5.0,1.2,0.6,37.5,36
E06000011,East Riding of Yorkshire UA,"334,179",4.9,3.0,2.0,5.6,1.3,2.5,2.4,4.7,4.5,18.1,21.7,8.1,11.6,7.1,1.8,0.9,43.5,45
E06000012,North East Lincolnshire UA,"159,616",6.3,3.5,2.1,5.8,1.3,2.6,2.6,6.6,6.3,18.7,20.2,6.4,9.2,6.1,1.5,0.8,40.2,41
E06000013,North Lincolnshire UA,"167,446",6.1,3.5,2.1,5.7,1.3,2.5,2.3,5.7,6.0,18.9,21.2,6.8,9.7,6.0,1.5,0.7,40.8,42
E06000014,York UA,"198,051",5.4,2.9,1.8,4.9,1.0,2.1,4.0,10.0,7.1,19.6,18.4,5.9,8.5,5.9,1.6,0.8,39.5,38
E06000015,Derby UA,"248,752",7.1,3.8,2.3,6.0,1.2,2.5,3.0,8.1,7.3,20.6,17.9,5.1,7.6,5.4,1.4,0.7,37.6,36
E06000016,Leicester UA,"329,839",7.4,3.9,2.4,6.1,1.2,2.6,3.6,10.7,9.0,20.7,16.9,4.3,5.7,3.9,1.1,0.5,34.8,31
E06000017,Rutland UA,"37,369",5.0,3.0,1.9,6.3,1.7,3.8,2.2,4.7,5.1,17.9,20.1,7.3,11.3,6.8,1.9,1.0,42.4,43
E06000018,Nottingham UA,"305,680",6.5,3.3,2.0,5.2,1.1,2.2,5.5,14.0,8.6,20.1,15.6,4.1,5.7,4.2,1.2,0.5,34.8,30
E06000019,"Herefordshire, County of UA","183,477",5.2,3.0,2.0,5.7,1.2,2.5,2.1,5.1,5.3,17.9,21.2,7.4,11.2,7.2,1.9,1.0,43.0,44
E06000020,Telford and Wrekin UA,"166,641",6.8,3.7,2.3,6.4,1.4,2.8,2.7,6.5,6.5,20.6,19.8,6.0,8.4,4.5,1.1,0.5,38.1,38
E06000021,Stoke-on-Trent UA,"249,008",6.9,3.6,2.1,5.7,1.1,2.5,2.8,7.7,7.3,20.0,18.8,5.9,8.4,5.3,1.3,0.6,38.5,38
E06000022,Bath and North East Somerset UA,"176,016",5.2,2.9,2.0,5.4,1.2,2.3,4.0,9.1,5.8,18.4,19.4,6.1,9.0,6.2,1.8,0.9,40.3,40
E06000023,"Bristol, City of UA","428,234",6.9,3.4,2.0,5.1,1.0,2.1,3.2,10.4,9.5,22.2,16.5,4.7,6.5,4.5,1.4,0.7,36.5,33
