Area_Code,Area,Count_Persons,Pct_None,Pct_Level1,Pct_Level2,Pct_Apprentice,Pct_Level3,Pct_Level4
E06000001,Hartlepool UA,"74,228",30.7,13.5,16.2,5.5,12.5,17.6
E06000002,Middlesbrough UA,"110,409",29.9,13.6,15.3,4.4,13.2,18.5
E06000003,Redcar and Cleveland UA,"111,011",28.4,13.5,16.4,5.7,13.1,18.9
E06000004,Stockton-on-Tees UA,"154,503",23.8,13.9,16.9,5.2,13.6,22.8
E06000005,Darlington UA,"85,357",24.8,13.4,15.9,5.1,12.7,23.7
E06000006,Halton UA,"100,819",26.9,16.8,18.6,3.8,12.5,17.6
E06000007,Warrington UA,"163,477",20.7,14.6,16.5,4.1,12.6,27.4
E06000008,Blackburn with Darwen UA,"113,122",28.7,14.3,15.2,3.9,11.4,19.8
E06000009,Blackpool UA,"116,699",31.3,15.5,17.1,4.2,11.6,15.5
E06000010,"Kingston upon Hull, City of UA","208,040",31.7,14.6,15.4,4.0,13.1,15.2
E06000011,East Riding of Yorkshire UA,"278,333",23.4,13.0,16.2,5.0,12.1,25.9
E06000012,North East Lincolnshire UA,"129,377",29.5,16.1,17.8,4.6,10.8,16.2
E06000013,North Lincolnshire UA,"136,105",26.2,15.8,16.7,4.9,11.7,19.5
E06000014,York UA,"166,275",18.0,10.6,13.9,4.5,16.6,32.4
E06000015,Derby UA,"198,076",24.1,13.3,14.5,4.9,13.0,24.2
E06000016,Leicester UA,"260,560",28.6,13.0,12.6,2.0,13.0,21.2
E06000017,Rutland UA,"30,683",17.8,12.2,17.5,3.6,12.5,32.9
E06000018,Nottingham UA,"250,104",25.6,12.2,12.9,2.3,18.6,21.9
E06000019,"Herefordshire, County of UA","151,962",22.9,12.8,16.0,3.6,12.0,27.5
E06000020,Telford and Wrekin UA,"132,440",24.6,15.1,17.9,3.3,13.0,20.9
E06000021,Stoke-on-Trent UA,"200,642",33.8,14.4,15.9,3.5,11.9,15.5
E06000022,Bath and North East Somerset UA,"146,439",17.2,11.0,14.2,3.7,16.5,33.4
E06000023,"Bristol, City of UA","349,653",20.2,11.9,12.8,2.9,14.6,32.8
E06000024,North Somerset UA,"165,914",19.6,13.7,17.2,4.4,12.7,28.4
E06000025,South Gloucestershire UA,"212,837",18.6,14.9,16.7,5.4,13.7,26.7
E06000026,Plymouth UA,"211,502",22.3,13.5,16.8,5.2,16.6,21.5
E06000027,Torbay UA,"109,290",25.8,15.0,17.3,4.7,11.8,20.6
E06000028,Bournemouth UA,"155,224",19.1,13.0,15.5,3.8,15.7,26.4
E06000029,Poole UA,"121,986",21.4,14.4,16.6,4.9,12.5,25.5
E06000030,Swindon UA,"167,774",20.5,17.4,17.3,4.5,11.6,22.7
E06000031,Peterborough UA,"144,495",25.0,15.4,16.2,3.5,10.8,20.2
E06000032,Luton UA,"156,445",23.6,14.6,14.5,3.3,11.1,22.3
